DATA_YEAR,STATE_ABBR,STATE_NAME,BIAS_GROUP,BIAS_TYPE,SUM_VICTIM_COUNT
2001,AK,Alaska,Race_Anti-American Indian,Race,17
2001,AK,Alaska,Gender,Gender,1
2001,AK,Alaska,Religion,Religion,2
2001,AK,Alaska,Race_Anti-African American,Race,3
2001,AK,Alaska,Race_Other,Race,2
2001,AR,Arkansas,Race_Anti-Jewish,Race,1
2001,AR,Arkansas,Race_Other,Race,1
2001,AR,Arkansas,Race_Anti-African American,Race,1
2001,AZ,Arizona,Religion,Religion,40
2001,AZ,Arizona,Race_Anti-American Indian,Race,10
2001,AZ,Arizona,Race_Anti-Hispanic,Race,80
2001,AZ,Arizona,Race_Anti-African American,Race,151
2001,AZ,Arizona,Race_Anti-Asian,Race,7
2001,AZ,Arizona,Race_Other,Race,163
2001,AZ,Arizona,Race_Anti-Jewish,Race,26
2001,AZ,Arizona,Gender,Gender,54
2001,CA,California,Race_Anti-African American,Race,768
2001,CA,California,Race_Anti-Hispanic,Race,282
2001,CA,California,Race_Other,Race,774
2001,CA,California,Gender,Gender,500
2001,CA,California,Religion,Religion,139
2001,CA,California,Race_Anti-Jewish,Race,209
2001,CA,California,Race_Anti-Asian,Race,114
2001,CA,California,Race_Anti-American Indian,Race,4
2001,CA,California,Disability,Disability,4
2001,CO,Colorado,Gender,Gender,35
2001,CO,Colorado,Race_Other,Race,28
2001,CO,Colorado,Race_Anti-Hispanic,Race,24
2001,CO,Colorado,Religion,Religion,32
2001,CO,Colorado,Race_Anti-African American,Race,41
2001,CO,Colorado,Race_Anti-Jewish,Race,10
2001,CO,Colorado,Race_Anti-Asian,Race,9
2001,CO,Colorado,Race_Anti-Arab,Race,1
2001,CO,Colorado,Race_Anti-American Indian,Race,1
2001,CT,Connecticut,Race_Anti-African American,Race,82
2001,CT,Connecticut,Gender,Gender,35
2001,CT,Connecticut,Race_Anti-Jewish,Race,25
2001,CT,Connecticut,Race_Other,Race,74
2001,CT,Connecticut,Religion,Religion,12
2001,CT,Connecticut,Race_Anti-Hispanic,Race,5
2001,CT,Connecticut,Disability,Disability,2
2001,CT,Connecticut,Race_Anti-Arab,Race,2
2001,CT,Connecticut,Race_Anti-American Indian,Race,1
2001,DC,District of Columbia,Gender,Gender,6
2001,DC,District of Columbia,Race_Other,Race,1
2001,DC,District of Columbia,Religion,Religion,1
2001,DC,District of Columbia,Race_Anti-African American,Race,2
2001,DC,District of Columbia,Race_Anti-Jewish,Race,1
2001,DC,District of Columbia,Race_Anti-Hispanic,Race,1
2001,DC,District of Columbia,Race_Anti-Asian,Race,1
2001,DE,Delaware,Race_Other,Race,4
2001,DE,Delaware,Race_Anti-African American,Race,10
2001,DE,Delaware,Gender,Gender,6
2001,DE,Delaware,Race_Anti-Asian,Race,2
2001,DE,Delaware,Race_Anti-Jewish,Race,1
2001,DE,Delaware,Religion,Religion,3
2001,FL,Florida,Race_Other,Race,140
2001,FL,Florida,Gender,Gender,44
2001,FL,Florida,Religion,Religion,14
2001,FL,Florida,Race_Anti-African American,Race,84
2001,FL,Florida,Race_Anti-Jewish,Race,58
2001,GA,Georgia,Race_Anti-African American,Race,25
2001,GA,Georgia,Race_Other,Race,11
2001,GA,Georgia,Religion,Religion,3
2001,GA,Georgia,Gender,Gender,10
2001,GA,Georgia,Race_Anti-Asian,Race,2
2001,IA,Iowa,Gender,Gender,2
2001,IA,Iowa,Race_Anti-African American,Race,17
2001,IA,Iowa,Race_Other,Race,11
2001,IA,Iowa,Religion,Religion,2
2001,IA,Iowa,Race_Anti-Hispanic,Race,4
2001,IA,Iowa,Race_Anti-Asian,Race,1
2001,IA,Iowa,Race_Anti-Jewish,Race,1
2001,ID,Idaho,Race_Anti-African American,Race,7
2001,ID,Idaho,Race_Anti-American Indian,Race,4
2001,ID,Idaho,Race_Other,Race,7
2001,ID,Idaho,Religion,Religion,14
2001,ID,Idaho,Gender,Gender,4
2001,ID,Idaho,Race_Anti-Jewish,Race,4
2001,ID,Idaho,Race_Anti-Hispanic,Race,3
2001,ID,Idaho,Race_Anti-Asian,Race,1
2001,IL,Illinois,Race_Anti-African American,Race,117
2001,IL,Illinois,Religion,Religion,19
2001,IL,Illinois,Disability,Disability,1
2001,IL,Illinois,Race_Other,Race,74
2001,IL,Illinois,Gender,Gender,63
2001,IL,Illinois,Race_Anti-Hispanic,Race,17
2001,IL,Illinois,Race_Anti-Asian,Race,7
2001,IL,Illinois,Race_Anti-Jewish,Race,28
2001,IL,Illinois,Race_Anti-Arab,Race,43
2001,IN,Indiana,Race_Anti-African American,Race,92
2001,IN,Indiana,Race_Other,Race,35
2001,IN,Indiana,Race_Anti-Jewish,Race,10
2001,IN,Indiana,Gender,Gender,19
2001,IN,Indiana,Religion,Religion,26
2001,IN,Indiana,Disability,Disability,2
2001,IN,Indiana,Race_Anti-Hispanic,Race,6
2001,IN,Indiana,Race_Anti-Asian,Race,1
2001,KS,Kansas,Race_Anti-Hispanic,Race,8
2001,KS,Kansas,Race_Other,Race,19
