City,continent,Rank,SunshineHours,countryObesityLevels,countryLifeExpectancy,CityPollutionScore,countryHappinessLevel,cityOutdoorActivity,cityTakeOutPlaces
Amsterdam,EU,1,1858,20.40%,81.2,30.93,7.44,422,1048
Sydney,OC,2,2636,29.00%,82.1,26.86,7.22,406,1103
Vienna,EU,3,1884,20.10%,81,17.33,7.29,132,1008
Stockholm,EU,4,1821,20.60%,81.8,19.63,7.35,129,598
Copenhagen,EU,5,1630,19.70%,79.8,21.24,7.64,154,523
Helsinki,AM,6,1662,22.20%,80.4,13.08,7.8,113,309
Fukuoka,AS,7,2769,4.30%,83.2,-,5.87,35,539
Berlin,EU,8,1626,22.30%,80.6,39.41,7.07,254,1729
Barcelona,EU,9,2591,23.80%,82.2,65.19,6.4,585,2344
Vancouver,AM,10,1938,29.40%,81.7,24.26,7.23,218,788
Melbourne,AM,11,2363,29.00%,82.1,25.9,7.22,243,813
Beijing,AS,12,2671,6.20%,75.4,85.43,5.12,223,261
Bangkok,AS,13,2624,10.00%,74.1,76.64,5.99,377,1796
Buenos Aires,AM,14,2525,28.30%,75.9,52.64,5.97,246,1435
Toronto,AM,15,2066,29.40%,81.7,37.83,7.23,174,1656
Madrid,EU,16,2769,23.80%,82.2,52.68,6.4,216,2491
Jakarta,AS,17,2983,6.90%,68.5,84.39,5.28,114,833
Seoul,AS,18,2066,4.70%,81.3,57.82,5.87,144,389
Frankfurt,EU,19,1662,22.30%,80.6,37.78,7.07,23,551
Geneva,EU,20,-,19.50%,82.6,27.25,7.56,44,444
Tel Aviv,AS,21,3311,26.10%,81.9,47.28,7.12,139,420
Istanbul,AS,22,2218,32.10%,74.7,69.49,5.13,419,934
Cairo,AF,23,3542,32.00%,70.7,91.74,4.15,323,250
Taipei,AS,24,1405,6.20%,75.4,49.32,5.12,134,717
Los Angeles,AM,25,3254,36.20%,78.8,66.07,6.94,223,1439
Mumbai,AS,26,2584,3.90%,67.3,82.84,3.57,187,1183
Boston,AM,27,2634,36.20%,78.8,27.03,6.94,88,588
Dublin,EU,28,1453,25.30%,80.5,40.07,7.09,159,659
Tokyo,AS,29,1877,4.30%,83.2,42.84,5.87,387,5802
Chicago,AM,30,2508,36.20%,78.8,43.33,6.94,171,1320
Hong Kong,AS,31,1836,6.20%,75.4,67.46,5.51,277,1257
Shanghai,AS,32,1776,6.20%,75.4,77.4,5.12,108,346
Brussels,EU,33,1546,22.10%,80.4,62.67,6.86,55,988
San Francisco,AM,34,3062,36.20%,78.8,47.36,6.94,242,1031
Paris,EU,35,1662,21.60%,81.8,65.1,6.66,331,4363
Sao Paulo,AM,36,2003,22.10%,73.9,79.78,6.37,158,3355
Zurich,EU,37,1566,19.50%,82.6,17.31,7.56,69,538
London,EU,38,1633,27.80%,80.4,58.91,7.16,433,6417
Johannesburg,EU,39,3124,28.30%,56.3,61.83,4.81,194,492
Milan,EU,40,1915,19.90%,82.7,67.19,6.38,110,2396
"Washington, D.C.",AM,41,2528,36.20%,78.8,39.18,6.94,83,744
New York,AM,42,2535,36.20%,78.8,57.36,6.94,359,3081
Moscow,EU,43,1901,23.10%,69.5,57.63,5.54,322,3206
Mexico City,AM,44,2555,28.90%,76.4,82.78,6.46,192,1313
