INCIDENT_ID,STATE_NAME,DATA_YEAR,SUM_VICTIM_COUNT
123,All,2001,12068
124,All,2002,9239
125,All,2003,9186
126,All,2004,9570
127,All,2005,9068
128,All,2006,9631
129,All,2007,9541
130,All,2008,9996
131,All,2009,8355
132,All,2010,8214
133,All,2011,7803
134,All,2012,8057
135,All,2013,7386
136,All,2014,6858
137,All,2015,7206
138,All,2016,7792
139,All,2017,8998
140,All,2018,8813
141,All,2019,9403
142,All,2020,13741
79172,Alaska,2001,25
73943,Arkansas,2001,3
73731,Arizona,2001,531
73946,California,2001,2794
75105,Colorado,2001,181
81448,Connecticut,2001,238
75247,District of Columbia,2001,13
81671,Delaware,2001,26
75253,Florida,2001,340
82108,Georgia,2001,51
75691,Iowa,2001,38
75458,Idaho,2001,44
75526,Illinois,2001,369
75627,Indiana,2001,191
75723,Kansas,2001,109
75773,Kentucky,2001,103
75826,Louisiana,2001,10
75992,Massachusetts,2001,716
75868,Maryland,2001,253
75833,Maine,2001,43
76293,Michigan,2001,521
76545,Minnesota,2001,260
76691,Missouri,2001,119
76660,Mississippi,2001,3
76728,Montana,2001,16
76747,Nebraska,2001,76
77647,North Carolina,2001,107
77732,North Dakota,2001,21
76837,New Hampshire,2001,30
76857,New Jersey,2001,806
77225,New Mexico,2001,23
76774,Nevada,2001,129
77242,New York,2001,863
77839,Ohio,2001,489
79458,Oklahoma,2001,61
77990,Oregon,2001,262
78129,Pennsylvania,2001,208
78224,Rhode Island,2001,68
78257,South Carolina,2001,67
78307,South Dakota,2001,5
78335,Tennessee,2001,227
78472,Texas,2001,563
78693,Utah,2001,88
78732,Virginia,2001,445
78726,Vermont,2001,23
83110,Washington,2001,372
79105,Wisconsin,2001,79
79080,West Virginia,2001,49
79162,Wyoming,2001,10
87753,Alaska,2002,7
83461,Alabama,2002,2
83463,Arizona,2002,337
83603,California,2002,1998
84464,Colorado,2002,131
84532,Connecticut,2002,180
84598,District of Columbia,2002,18
90572,Delaware,2002,15
84604,Florida,2002,315
90325,Georgia,2002,41
84966,Iowa,2002,52
84756,Idaho,2002,54
84801,Illinois,2002,204
84834,Indiana,2002,109
85003,Kansas,2002,78
85045,Kentucky,2002,96
85102,Louisiana,2002,29
85232,Massachusetts,2002,504
90902,Maryland,2002,229
85115,Maine,2002,48
89502,Michigan,2002,496
89796,Minnesota,2002,248
85807,Missouri,2002,76
85779,Mississippi,2002,4
85840,Montana,2002,25
85853,Nebraska,2002,66
86626,North Carolina,2002,76
86706,North Dakota,2002,20
85917,New Hampshire,2002,37
85935,New Jersey,2002,615
86259,New Mexico,2002,15
85890,Nevada,2002,76
86265,New York,2002,864
89786,Ohio,2002,327
86873,Oklahoma,2002,61
86907,Oregon,2002,85
86966,Pennsylvania,2002,116
87009,Rhode Island,2002,44
87047,South Carolina,2002,84
87113,South Dakota,2002,6
88648,Tennessee,2002,159
89098,Texas,2002,459
87355,Utah,2002,68
87390,Virginia,2002,404
88838,Vermont,2002,26
88355,Washington,2002,229
87715,Wisconsin,2002,45
87676,West Virginia,2002,55
87748,Wyoming,2002,6
95484,Alaska,2003,15
90946,Alabama,2003,2
91096,Arkansas,2003,199
90947,Arizona,2003,312
95728,California,2003,1793
91979,Colorado,2003,111
92041,Connecticut,2003,216
92115,District of Columbia,2003,35
97682,Delaware,2003,24
92140,Florida,2003,281
92296,Georgia,2003,28
92519,Iowa,2003,65
92335,Idaho,2003,25
95970,Illinois,2003,284
92476,Indiana,2003,114
92552,Kansas,2003,59
92599,Kentucky,2003,100
92658,Louisiana,2003,7
92856,Massachusetts,2003,487
92705,Maryland,2003,281
92663,Maine,2003,106
97569,Michigan,2003,493
93306,Minnesota,2003,257
93436,Missouri,2003,73
93419,Mississippi,2003,1
93481,Montana,2003,6
93486,Nebraska,2003,51
94255,North Carolina,2003,112
94341,North Dakota,2003,12
93576,New Hampshire,2003,44
96721,New Jersey,2003,640
93919,New Mexico,2003,12
93466,Nevada,2003,120
93930,New York,2003,643
94384,Ohio,2003,284
94511,Oklahoma,2003,49
97187,Oregon,2003,112
96777,Pennsylvania,2003,147
94727,Rhode Island,2003,55
94784,South Carolina,2003,84
94824,South Dakota,2003,15
94841,Tennessee,2003,240
94958,Texas,2003,334
95084,Utah,2003,79
98058,Virginia,2003,358
98485,Vermont,2003,34
95294,Washington,2003,295
95443,Wisconsin,2003,44
98265,West Virginia,2003,35
95472,Wyoming,2003,13
103028,Alaska,2004,12
98491,Alabama,2004,5
98608,Arkansas,2004,92
98494,Arizona,2004,307
98647,California,2004,1752
99363,Colorado,2004,78
99396,Connecticut,2004,172
99491,District of Columbia,2004,58
99475,Delaware,2004,60
99516,Florida,2004,344
99712,Georgia,2004,38
103633,Iowa,2004,36
99725,Idaho,2004,50
99758,Illinois,2004,239
99841,Indiana,2004,128
99983,Kansas,2004,70
100027,Kentucky,2004,86
100093,Louisiana,2004,34
100264,Massachusetts,2004,430
100153,Maryland,2004,284
100114,Maine,2004,93
105056,Michigan,2004,656
103813,Minnesota,2004,299
100902,Missouri,2004,98
100887,Mississippi,2004,2
100953,Montana,2004,73
100979,Nebraska,2004,68
101722,North Carolina,2004,90
101802,North Dakota,2004,12
101045,New Hampshire,2004,69
104682,New Jersey,2004,826
101500,New Mexico,2004,25
101008,Nevada,2004,109
101512,New York,2004,426
101888,Ohio,2004,501
102013,Oklahoma,2004,81
102050,Oregon,2004,188
102147,Pennsylvania,2004,126
102265,Rhode Island,2004,34
102216,South Carolina,2004,129
102345,South Dakota,2004,7
102356,Tennessee,2004,163
102476,Texas,2004,383
102627,Utah,2004,85
102695,Virginia,2004,362
102654,Vermont,2004,34
102867,Washington,2004,238
102990,Wisconsin,2004,61
102951,West Virginia,2004,50
103024,Wyoming,2004,7
110637,Alaska,2005,5
106271,Arkansas,2005,152
106175,Arizona,2005,258
106345,California,2005,1673
107057,Colorado,2005,172
107121,Connecticut,2005,158
107195,District of Columbia,2005,64
112695,Delaware,2005,75
107217,Florida,2005,268
107388,Georgia,2005,20
107590,Iowa,2005,35
107407,Idaho,2005,38
107439,Illinois,2005,246
107563,Indiana,2005,61
107622,Kansas,2005,95
107669,Kentucky,2005,50
107721,Louisiana,2005,22
107893,Massachusetts,2005,479
107777,Maryland,2005,243
107737,Maine,2005,64
112299,Michigan,2005,723
108403,Minnesota,2005,240
108545,Missouri,2005,124
108605,Montana,2005,84
108642,Nebraska,2005,76
109465,North Carolina,2005,141
109552,North Dakota,2005,14
111899,New Hampshire,2005,39
108761,New Jersey,2005,775
109163,New Mexico,2005,21
108685,Nevada,2005,113
109180,New York,2005,518
109594,Ohio,2005,246
109710,Oklahoma,2005,49
109738,Oregon,2005,165
109851,Pennsylvania,2005,89
109934,Rhode Island,2005,15
109949,South Carolina,2005,138
110030,South Dakota,2005,12
110046,Tennessee,2005,159
110146,Texas,2005,327
113470,Utah,2005,65
110304,Virginia,2005,346
110292,Vermont,2005,46
110468,Washington,2005,242
110600,Wisconsin,2005,69
110543,West Virginia,2005,51
110634,Wyoming,2005,3
